Name,URL,Date,Tags,Level,Minutes,Status,Time Complexity,Space Complexity,Carl's
KamaCoder 106. 海岸线计算,https://kamacoder.com/problempage.php?pid=1178,Mar 27,GraphTheory,Medium,20,Done,O(VE),O(VE),https://programmercarl.com/kamacoder/0106.%E5%B2%9B%E5%B1%BF%E7%9A%84%E5%91%A8%E9%95%BF.html
KamaCoder 104. 建造最大岛屿,https://kamacoder.com/problempage.php?pid=1176,Mar 26,GraphTheory,Hard,120,Done,O(VE),O(VE),https://programmercarl.com/kamacoder/0104.%E5%BB%BA%E9%80%A0%E6%9C%80%E5%A4%A7%E5%B2%9B%E5%B1%BF.html#%E6%80%9D%E8%B7%AF
KamaCoder 103. 高山流水,https://kamacoder.com/problempage.php?pid=1175,Mar 26,GraphTheory,Hard,100,Done,O(VE),O(VE),https://programmercarl.com/kamacoder/0103.%E6%B0%B4%E6%B5%81%E9%97%AE%E9%A2%98.html
KamaCoder 102. 沉没孤岛,https://kamacoder.com/problempage.php?pid=1174,Mar 25,GraphTheory,Medium,45,Done,O(VE),O(VE),https://programmercarl.com/kamacoder/0102.%E6%B2%89%E6%B2%A1%E5%AD%A4%E5%B2%9B.html
KamaCoder 101. 孤岛的总面积,https://kamacoder.com/problempage.php?pid=1173,Mar 25,GraphTheory,Medium,10,Done,O(VE),O(VE),https://programmercarl.com/kamacoder/0101.%E5%AD%A4%E5%B2%9B%E7%9A%84%E6%80%BB%E9%9D%A2%E7%A7%AF.html
KamaCoder 100. 最大岛屿的面积,https://kamacoder.com/problempage.php?pid=1172,Mar 25,GraphTheory,Medium,30,Done,O(VE),O(VE),https://programmercarl.com/kamacoder/0100.%E5%B2%9B%E5%B1%BF%E7%9A%84%E6%9C%80%E5%A4%A7%E9%9D%A2%E7%A7%AF.html
KamaCoder 99. 计数孤岛,https://kamacoder.com/problempage.php?pid=1171,Mar 24,GraphTheory,Medium,40,Done,O(VE),O(VE),https://programmercarl.com/kamacoder/0099.%E5%B2%9B%E5%B1%BF%E7%9A%84%E6%95%B0%E9%87%8F%E6%B7%B1%E6%90%9C.html#%E6%80%9D%E8%B7%AF
KamaCoder 98. 可达路径,https://kamacoder.com/problempage.php?pid=1170,Mar 24,GraphTheory,Medium,40,Done,O(V!),O(V + E),https://programmercarl.com/kamacoder/0098.%E6%89%80%E6%9C%89%E5%8F%AF%E8%BE%BE%E8%B7%AF%E5%BE%84.html#%E6%8F%92%E6%9B%B2
84. Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/description/,Mar 22,"DoublePointer, MonotonicStack",Hard,120,Done,O(n),O(n),https://programmercarl.com/0084.%E6%9F%B1%E7%8A%B6%E5%9B%BE%E4%B8%AD%E6%9C%80%E5%A4%A7%E7%9A%84%E7%9F%A9%E5%BD%A2.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
42. Trapping Rain Water,https://programmercarl.com/0042.%E6%8E%A5%E9%9B%A8%E6%B0%B4.html,Mar 21,"DoublePointer, MonotonicStack",Hard,120,Review-logic,O(n),O(n),https://leetcode.com/problems/trapping-rain-water/description/
503. Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii/description/,Mar 20,MonotonicStack,Medium,50,Done,O(n),O(n),https://programmercarl.com/0503.%E4%B8%8B%E4%B8%80%E4%B8%AA%E6%9B%B4%E5%A4%A7%E5%85%83%E7%B4%A0II.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
496. Next Greater Element I,https://leetcode.com/problems/next-greater-element-i/description/,Mar 20,MonotonicStack,Easy,60,Done,O(m+n),O(n),https://programmercarl.com/0496.%E4%B8%8B%E4%B8%80%E4%B8%AA%E6%9B%B4%E5%A4%A7%E5%85%83%E7%B4%A0I.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
739. Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,Mar 20,MonotonicStack,Medium,20,Done,O(n),O(n),https://programmercarl.com/0739.%E6%AF%8F%E6%97%A5%E6%B8%A9%E5%BA%A6.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
516. Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence/description/,Mar 20,DynamicProgram,Medium,60,Done,O(n^2),O(n^2),https://programmercarl.com/0516.%E6%9C%80%E9%95%BF%E5%9B%9E%E6%96%87%E5%AD%90%E5%BA%8F%E5%88%97.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
647. Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/description/,Mar 19,"DoublePointer, DynamicProgram",Medium,50,Review-logic,O(n^2),O(n),https://programmercarl.com/0647.%E5%9B%9E%E6%96%87%E5%AD%90%E4%B8%B2.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
72. Edit Distance,https://leetcode.com/problems/edit-distance/description/,Mar 19,DynamicProgram,Medium,45,Review-logic,O(mn),O(mn),https://programmercarl.com/0072.%E7%BC%96%E8%BE%91%E8%B7%9D%E7%A6%BB.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
583. Delete Operation for Two Strings,https://leetcode.com/problems/delete-operation-for-two-strings/,Mar 19,"DynamicProgram, String",Medium,5,Done,O(mn),O(mn),https://programmercarl.com/0583.%E4%B8%A4%E4%B8%AA%E5%AD%97%E7%AC%A6%E4%B8%B2%E7%9A%84%E5%88%A0%E9%99%A4%E6%93%8D%E4%BD%9C.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
115. Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/description/,Mar 19,"DynamicProgram, String",Hard,30,Done,O(mn),O(n),https://programmercarl.com/0115.%E4%B8%8D%E5%90%8C%E7%9A%84%E5%AD%90%E5%BA%8F%E5%88%97.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
392. Is Subsequence,https://leetcode.com/problems/is-subsequence/,Mar 17,"DoublePointer, DynamicProgram",Easy,20,Done,O(n),O(1),https://programmercarl.com/0392.%E5%88%A4%E6%96%AD%E5%AD%90%E5%BA%8F%E5%88%97.html
53. Maximum Subarray,https://leetcode.com/problems/maximum-subarray/description/,Mar 17,DynamicProgram,Medium,20,Done,O(n),O(1),https://programmercarl.com/0053.%E6%9C%80%E5%A4%A7%E5%AD%90%E5%BA%8F%E5%92%8C%EF%BC%88%E5%8A%A8%E6%80%81%E8%A7%84%E5%88%92%EF%BC%89.html
1035. Uncrossed Lines,https://leetcode.com/problems/uncrossed-lines/,Mar 17,DynamicProgram,Medium,1,Done,O(mn),O(mn),https://programmercarl.com/1035.%E4%B8%8D%E7%9B%B8%E4%BA%A4%E7%9A%84%E7%BA%BF.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
1143. Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,Mar 16,DynamicProgram,Medium,30,Done,O(mn),O(mn),https://programmercarl.com/1143.%E6%9C%80%E9%95%BF%E5%85%AC%E5%85%B1%E5%AD%90%E5%BA%8F%E5%88%97.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
718. Maximum Length of Repeated Subarray,https://leetcode.com/problems/maximum-length-of-repeated-subarray,Mar 15,DynamicProgram,Medium,20,Done,O(mn),O(n),https://programmercarl.com/0718.%E6%9C%80%E9%95%BF%E9%87%8D%E5%A4%8D%E5%AD%90%E6%95%B0%E7%BB%84.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
674. Longest Continuous Increasing Subsequence,https://leetcode.com/problems/longest-continuous-increasing-subsequence/description/,Mar 15,DynamicProgram,Easy,5,Done,O(n),O(1),https://programmercarl.com/0674.%E6%9C%80%E9%95%BF%E8%BF%9E%E7%BB%AD%E9%80%92%E5%A2%9E%E5%BA%8F%E5%88%97.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
300. Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,Mar 15,DynamicProgram,Medium,60,Done,O(n^2),O(n),https://programmercarl.com/0300.%E6%9C%80%E9%95%BF%E4%B8%8A%E5%8D%87%E5%AD%90%E5%BA%8F%E5%88%97.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
714. Best Time to Buy and Sell Stock with Transaction Fee,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/description/,Mar 13,DynamicProgram,Medium,5,Done,O(n),O(1),https://programmercarl.com/0714.%E4%B9%B0%E5%8D%96%E8%82%A1%E7%A5%A8%E7%9A%84%E6%9C%80%E4%BD%B3%E6%97%B6%E6%9C%BA%E5%90%AB%E6%89%8B%E7%BB%AD%E8%B4%B9%EF%BC%88%E5%8A%A8%E6%80%81%E8%A7%84%E5%88%92%EF%BC%89.html
309. Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/description/,Mar 13,DynamicProgram,Medium,30,Done,O(n),O(1),https://programmercarl.com/0309.%E6%9C%80%E4%BD%B3%E4%B9%B0%E5%8D%96%E8%82%A1%E7%A5%A8%E6%97%B6%E6%9C%BA%E5%90%AB%E5%86%B7%E5%86%BB%E6%9C%9F.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
188. Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,Mar 12,DynamicProgram,Hard,20,Done,O(n),O(1),https://programmercarl.com/0647.%E5%9B%9E%E6%96%87%E5%AD%90%E4%B8%B2.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
123. Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,Mar 12,DynamicProgram,Hard,60,Review-logic,O(n),O(1),https://programmercarl.com/0123.%E4%B9%B0%E5%8D%96%E8%82%A1%E7%A5%A8%E7%9A%84%E6%9C%80%E4%BD%B3%E6%97%B6%E6%9C%BAIII.html
122. Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Mar 12,"DynamicProgram, Greedy",Medium,30,Done,O(n),O(1),https://programmercarl.com/0122.%E4%B9%B0%E5%8D%96%E8%82%A1%E7%A5%A8%E7%9A%84%E6%9C%80%E4%BD%B3%E6%97%B6%E6%9C%BAII%EF%BC%88%E5%8A%A8%E6%80%81%E8%A7%84%E5%88%92%EF%BC%89.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
121. Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Mar 12,"DynamicProgram, Greedy",Easy,20,Review-logic,O(n),O(1),https://programmercarl.com/0121.%E4%B9%B0%E5%8D%96%E8%82%A1%E7%A5%A8%E7%9A%84%E6%9C%80%E4%BD%B3%E6%97%B6%E6%9C%BA.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
337. House Robber III,https://leetcode.com/problems/house-robber-iii/description/,Mar 11,DynamicProgram,Medium,90,Done,O(n),O(h),https://programmercarl.com/0337.%E6%89%93%E5%AE%B6%E5%8A%AB%E8%88%8DIII.html
213. House Robber II,https://leetcode.com/problems/house-robber-ii/description/,Mar 11,DynamicProgram,Medium,50,Done,O(n),O(1),https://programmercarl.com/0213.%E6%89%93%E5%AE%B6%E5%8A%AB%E8%88%8DII.html
198. House Robber,https://leetcode.com/problems/house-robber/description/,Mar 11,DynamicProgram,Medium,5,Done,O(n),O(1),https://programmercarl.com/0198.%E6%89%93%E5%AE%B6%E5%8A%AB%E8%88%8D.html
KamaCoder 56. 携带矿石资源,https://kamacoder.com/problempage.php?pid=1066,Mar 11,"DynamicProgram, Knapsack",Medium,10,Done,O(kmn ),O(m),https://programmercarl.com/%E8%83%8C%E5%8C%85%E9%97%AE%E9%A2%98%E7%90%86%E8%AE%BA%E5%9F%BA%E7%A1%80%E5%A4%9A%E9%87%8D%E8%83%8C%E5%8C%85.html#%E5%A4%9A%E9%87%8D%E8%83%8C%E5%8C%85
139. Word Break,https://leetcode.com/problems/word-break/,Mar 11,"DynamicProgram, Knapsack, String",Medium,30,Review-Java,O(mn),O(m),https://programmercarl.com/0139.%E5%8D%95%E8%AF%8D%E6%8B%86%E5%88%86.html
279. Perfect Squares,http://leetcode.com/problems/perfect-squares/description/,Mar 11,"DynamicProgram, Knapsack",Medium,15,Done,O(mn),O(m),https://programmercarl.com/0279.%E5%AE%8C%E5%85%A8%E5%B9%B3%E6%96%B9%E6%95%B0.html
322. Coin Change,https://leetcode.com/problems/coin-change/description/,Mar 11,"DynamicProgram, Knapsack",Medium,40,Done,O(mn),O(m),https://programmercarl.com/0322.%E9%9B%B6%E9%92%B1%E5%85%91%E6%8D%A2.html
KamaCoder 57. 爬楼梯,https://kamacoder.com/problempage.php?pid=1067,Mar 11,"DynamicProgram, Knapsack",Medium,10,Done,O(mn),O(m),https://programmercarl.com/0070.%E7%88%AC%E6%A5%BC%E6%A2%AF%E5%AE%8C%E5%85%A8%E8%83%8C%E5%8C%85%E7%89%88%E6%9C%AC.html#%E6%80%9D%E8%B7%AF
377. Combination Sum IV,https://leetcode.com/problems/combination-sum-iv/description/,Mar 10,"DynamicProgram, Knapsack",Medium,60,Review-logic,O(mn),O(m),https://programmercarl.com/0377.%E7%BB%84%E5%90%88%E6%80%BB%E5%92%8C%E2%85%A3.html
518. Coin Change II,https://leetcode.com/problems/coin-change-ii/description/,Mar 10,"DynamicProgram, Knapsack",Medium,5,Done,O(mn),O(m),https://programmercarl.com/0518.%E9%9B%B6%E9%92%B1%E5%85%91%E6%8D%A2II.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
KamaCoder 52. 携带研究材料,https://kamacoder.com/problempage.php?pid=1052,Mar 10,"DynamicProgram, Knapsack",Medium,30,Done,O(mn),O(m),https://programmercarl.com/%E8%83%8C%E5%8C%85%E9%97%AE%E9%A2%98%E7%90%86%E8%AE%BA%E5%9F%BA%E7%A1%80%E5%AE%8C%E5%85%A8%E8%83%8C%E5%8C%85.html#%E5%AE%8C%E5%85%A8%E8%83%8C%E5%8C%85
474. Ones and Zeroes,https://leetcode.com/problems/ones-and-zeroes/,Mar 10,"DynamicProgram, Knapsack",Medium,40,Done,O(kmn ),O(mn),https://programmercarl.com/0474.%E4%B8%80%E5%92%8C%E9%9B%B6.html
494. Target Sum,https://leetcode.com/problems/target-sum/,Mar 10,"DynamicProgram, Knapsack",Medium,45,Done,O(mn),O(m),https://programmercarl.com/0494.%E7%9B%AE%E6%A0%87%E5%92%8C.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
1049. Last Stone Weight II,https://leetcode.com/problems/last-stone-weight-ii/,Mar 10,"DynamicProgram, Knapsack",Medium,5,Done,O(mn),O(m),https://programmercarl.com/1049.%E6%9C%80%E5%90%8E%E4%B8%80%E5%9D%97%E7%9F%B3%E5%A4%B4%E7%9A%84%E9%87%8D%E9%87%8FII.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
416. Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/description/,Mar 9,"DynamicProgram, Knapsack",Medium,60,Done,O(mn),O(m),https://programmercarl.com/0416.%E5%88%86%E5%89%B2%E7%AD%89%E5%92%8C%E5%AD%90%E9%9B%86.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
96. Unique Binary Search Trees,https://leetcode.com/problems/unique-binary-search-trees/description/,Mar 8,DynamicProgram,Medium,30,Done,O(n^2),O(n),https://programmercarl.com/0096.%E4%B8%8D%E5%90%8C%E7%9A%84%E4%BA%8C%E5%8F%89%E6%90%9C%E7%B4%A2%E6%A0%91.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
343. Integer Break,https://leetcode.com/problems/integer-break/description/,Mar 7,DynamicProgram,Medium,60,Done,O(n),O(1),https://programmercarl.com/0343.%E6%95%B4%E6%95%B0%E6%8B%86%E5%88%86.html
63. Unique Paths II,https://leetcode.com/problems/unique-paths-ii/description/,Mar 7,DynamicProgram,Medium,20,Done,O(mn),O(n),https://programmercarl.com/0063.%E4%B8%8D%E5%90%8C%E8%B7%AF%E5%BE%84II.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
62. Unique Paths,https://leetcode.com/problems/unique-paths/description/,Mar 4,DynamicProgram,Medium,20,Done,O(mn),O(n),https://programmercarl.com/0062.%E4%B8%8D%E5%90%8C%E8%B7%AF%E5%BE%84.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
746. Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs,Mar 4,DynamicProgram,Easy,10,Done,O(n),O(1),https://programmercarl.com/0746.%E4%BD%BF%E7%94%A8%E6%9C%80%E5%B0%8F%E8%8A%B1%E8%B4%B9%E7%88%AC%E6%A5%BC%E6%A2%AF.html
70. Climbing Stairs,https://leetcode.com/problems/climbing-stairs/description/,Mar 4,DynamicProgram,Easy,5,Done,O(n),O(1),https://programmercarl.com/0070.%E7%88%AC%E6%A5%BC%E6%A2%AF.html
509. Fibonacci Number,https://leetcode.com/problems/fibonacci-number/description/,Mar 4,DynamicProgram,Easy,15,Done,O(n),O(n),https://programmercarl.com/0509.%E6%96%90%E6%B3%A2%E9%82%A3%E5%A5%91%E6%95%B0.html
968. Binary Tree Cameras,https://leetcode.com/problems/binary-tree-cameras/description/,Mar 3,"BinaryTree, Greedy",Hard,50,Done,O(n),O(h),https://programmercarl.com/0968.%E7%9B%91%E6%8E%A7%E4%BA%8C%E5%8F%89%E6%A0%91.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
738. Monotone Increasing Digits,https://leetcode.com/problems/monotone-increasing-digits/description/,Mar 3,Greedy,Medium,30,Done,O(n),O(n),https://programmercarl.com/0738.%E5%8D%95%E8%B0%83%E9%80%92%E5%A2%9E%E7%9A%84%E6%95%B0%E5%AD%97.html
56. Merge Intervals,https://leetcode.com/problems/merge-intervals/description/,Mar 2,Greedy,Medium,35,Done,O(n),O(n),https://programmercarl.com/0056.%E5%90%88%E5%B9%B6%E5%8C%BA%E9%97%B4.html
763. Partition Labels,https://leetcode.com/problems/partition-labels/description/,Mar 2,"Greedy, String",Medium,50,Done,O(nlogn),O(n),http://programmercarl.com/0763.%E5%88%92%E5%88%86%E5%AD%97%E6%AF%8D%E5%8C%BA%E9%97%B4.html
435. Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/description/,Mar 2,Greedy,Medium,15,Done,O(nlogn),O(1),https://programmercarl.com/0435.%E6%97%A0%E9%87%8D%E5%8F%A0%E5%8C%BA%E9%97%B4.html
452. Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/description/,Mar 2,Greedy,Medium,10,Done,O(nlogn),O(1),https://programmercarl.com/0452.%E7%94%A8%E6%9C%80%E5%B0%91%E6%95%B0%E9%87%8F%E7%9A%84%E7%AE%AD%E5%BC%95%E7%88%86%E6%B0%94%E7%90%83.html
406. Queue Reconstruction by Height,https://leetcode.com/problems/queue-reconstruction-by-height/description/,Feb 28,Greedy,Medium,50,Review-logic,O(n^2),O(n),https://programmercarl.com/0406.%E6%A0%B9%E6%8D%AE%E8%BA%AB%E9%AB%98%E9%87%8D%E5%BB%BA%E9%98%9F%E5%88%97.html
860. Lemonade Change,https://leetcode.com/problems/lemonade-change/description/,Feb 28,Greedy,Easy,20,Done,O(n),O(1),https://programmercarl.com/0860.%E6%9F%A0%E6%AA%AC%E6%B0%B4%E6%89%BE%E9%9B%B6.html
135. Candy,https://leetcode.com/problems/candy/description/,Feb 28,Greedy,Hard,120,Review-logic,O(n),O(n),https://programmercarl.com/0135.%E5%88%86%E5%8F%91%E7%B3%96%E6%9E%9C.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
134. Gas Station,https://leetcode.com/problems/gas-station/,Feb 28,Greedy,Medium,45,Done,O(n),O(1),https://programmercarl.com/0134.%E5%8A%A0%E6%B2%B9%E7%AB%99.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
1005. Maximize Sum Of Array After K Negations,https://leetcode.com/problems/maximize-sum-of-array-after-k-negations/description/,Feb 27,Greedy,Easy,30,Review-logic,O(nlogn),O(1),https://programmercarl.com/1005.K%E6%AC%A1%E5%8F%96%E5%8F%8D%E5%90%8E%E6%9C%80%E5%A4%A7%E5%8C%96%E7%9A%84%E6%95%B0%E7%BB%84%E5%92%8C.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
45. Jump Game II,https://leetcode.com/problems/jump-game-ii/description/,Feb 27,Greedy,Medium,65,Done,O(n),O(1),https://programmercarl.com/0055.%E8%B7%B3%E8%B7%83%E6%B8%B8%E6%88%8F.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
55. Jump Game,https://leetcode.com/problems/jump-game/description/,Feb 27,Greedy,Medium,10,Done,O(n),O(1),https://programmercarl.com/0055.%E8%B7%B3%E8%B7%83%E6%B8%B8%E6%88%8F.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
122. Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/description/,Feb 27,"DynamicProgram, Greedy",Medium,5,Done,O(n),O(1),https://programmercarl.com/0376.%E6%91%86%E5%8A%A8%E5%BA%8F%E5%88%97.html#%E5%85%B6%E4%BB%96%E8%AF%AD%E8%A8%80%E7%89%88%E6%9C%AC
53. Maximum Subarray,https://leetcode.com/problems/maximum-subarray/description/,Feb 26,"DynamicProgram, Greedy",Medium,20,Done,O(n),O(1),https://programmercarl.com/0053.%E6%9C%80%E5%A4%A7%E5%AD%90%E5%BA%8F%E5%92%8C.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
376. Wiggle Subsequence,https://leetcode.com/problems/wiggle-subsequence/description/,Feb 26,"DynamicProgram, Greedy",Medium,45,Done,O(n),O(n),https://programmercarl.com/0376.%E6%91%86%E5%8A%A8%E5%BA%8F%E5%88%97.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
455.  Assign Cookies,https://leetcode.com/problems/assign-cookies/description/,Feb 26,Greedy,Easy,15,Done,O(nlogn),O(1),https://programmercarl.com/0455.%E5%88%86%E5%8F%91%E9%A5%BC%E5%B9%B2.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
37. Soduko Solver,https://leetcode.com/problems/sudoku-solver/,Feb 26,Backtracking,Hard,,NotStart,,,https://programmercarl.com/0037.%E8%A7%A3%E6%95%B0%E7%8B%AC.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
51. N-Queens,https://leetcode.com/problems/n-queens/description/,Feb 26,Backtracking,Hard,,NotStart,,,https://programmercarl.com/0051.N%E7%9A%87%E5%90%8E.html
47. Permutations II,https://leetcode.com/problems/permutations-ii/,Feb 25,Backtracking,Medium,25,Done,O(n * n!),O(n),https://programmercarl.com/0047.%E5%85%A8%E6%8E%92%E5%88%97II.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
46. Permutations,https://leetcode.com/problems/permutations/description/,Feb 25,Backtracking,Medium,30,Done,O(n * n!),O(n),https://programmercarl.com/0046.%E5%85%A8%E6%8E%92%E5%88%97.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
